Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
68162,Indian Subcontinent,Indian,Asian,19.8653,86.2740,2.6832,0.9497,Indian Subcontinent
68163,Indian Subcontinent,Indian,Asian,18.5200,558.0690,2.1769,54.7603,Indian Subcontinent
68164,Indian Subcontinent,Indian,Asian,33.9279,6467.6486,1409.9457,37.1671,Indian Subcontinent
68165,Indian Subcontinent,Indian,Asian,51.3394,234.9090,5.9056,3.9202,Indian Subcontinent
68166,Indian Subcontinent,Indian,Asian,213.0139,1102.5155,40.1943,19.6711,Indian Subcontinent
68167,Indian Subcontinent,Indian,Asian,194.0973,1292.2848,65.6254,32.2096,Indian Subcontinent
68168,Indian Subcontinent,Indian,Asian,20.2872,499.4800,7.9623,46.4650,Indian Subcontinent
68169,Indian Subcontinent,Indian,Asian,3.6219,3177.5258,378.8813,172.8257,Indian Subcontinent
68170,Indian Subcontinent,Indian,Asian,43.9531,299.3706,11.9748,7.9832,Indian Subcontinent
68171,Indian Subcontinent,Indian,Asian,5.3262,133.3685,0.1553,12.7709,Indian Subcontinent
68172,Indian Subcontinent,Indian,Asian,157.5283,967.0206,12.6650,38.0553,Indian Subcontinent
68173,Indian Subcontinent,Indian,Asian,15.4128,621.1650,3.2515,62.3615,Indian Subcontinent
68174,Indian Subcontinent,Indian,Asian,21.2232,833.6162,8.4015,85.8574,Indian Subcontinent
68175,Indian Subcontinent,Indian,Asian,,,,,Indian Subcontinent
68176,Indian Subcontinent,Indian,Asian,91.3561,1208.5568,171.8366,22.2034,Indian Subcontinent
68177,Indian Subcontinent,Indian,Asian,59.4151,501.9791,11.2672,28.0322,Indian Subcontinent
68178,Indian Subcontinent,Indian,Asian,4.0105,22.1128,0.9403,0.7375,Indian Subcontinent
68179,Indian Subcontinent,Indian,Asian,3232.9240,158596.0000,1757.3600,16647.3400,Indian Subcontinent
68180,Indian Subcontinent,Indian,Asian,259.0920,1560.3840,47.6635,47.2003,Indian Subcontinent
68181,Indian Subcontinent,Indian,Asian,373.0480,2035.9900,24.7076,49.0685,Indian Subcontinent
68182,Indian Subcontinent,Indian,Asian,10424.2692,43003.6148,768.6903,293.5020,Indian Subcontinent
68183,Indian Subcontinent,Indian,Asian,8.5805,195.9718,7.9987,16.1044,Indian Subcontinent
68184,Indian Subcontinent,Indian,Asian,264.5431,1294.0810,21.8797,20.7284,Indian Subcontinent
68185,Indian Subcontinent,Indian,Asian,140.5398,1308.9763,32.2532,73.7900,Indian Subcontinent
68186,Indian Subcontinent,Indian,Asian,44.1057,278.4385,7.0371,12.2855,Indian Subcontinent
68187,Indian Subcontinent,Indian,Asian,89.9672,445.2386,23.1768,4.2482,Indian Subcontinent
68188,Indian Subcontinent,Indian,Asian,2402.1700,20464.4167,976.5000,832.7717,Indian Subcontinent
68189,Indian Subcontinent,Indian,Asian,6.4830,99.3873,3.1865,7.7322,Indian Subcontinent
68190,Indian Subcontinent,Indian,Asian,114.0319,712.7650,13.7364,26.8019,Indian Subcontinent
68191,Indian Subcontinent,Indian,Asian,233.3193,1334.5200,23.3254,44.0608,Indian Subcontinent
68192,Indian Subcontinent,Indian,Asian,14.9440,532.9280,1.7600,54.5600,Indian Subcontinent
68193,Indian Subcontinent,Indian,Asian,6.6839,33.2580,0.5979,0.7635,Indian Subcontinent
68194,Indian Subcontinent,Indian,Asian,17.6229,238.2553,9.4788,16.6621,Indian Subcontinent
68195,Indian Subcontinent,Indian,Asian,4.4386,288.0675,4.6036,28.8478,Indian Subcontinent
68196,Indian Subcontinent,Indian,Asian,2.9804,124.8655,0.5385,13.0528,Indian Subcontinent
68197,Indian Subcontinent,Indian,Asian,5115.7024,111957.5700,12240.9314,4607.7111,Indian Subcontinent
68198,Indian Subcontinent,Indian,Asian,43.3693,204.0211,10.0040,2.5989,Indian Subcontinent
68199,Indian Subcontinent,Indian,Asian,10.2786,235.3385,7.8801,19.3462,Indian Subcontinent
68200,Indian Subcontinent,Indian,Asian,0.0367,0.2300,0.0213,0.0052,Indian Subcontinent
68201,Indian Subcontinent,Indian,Asian,207.1052,2159.9065,59.5777,121.7926,Indian Subcontinent
68202,Indian Subcontinent,Indian,Asian,449.9638,2331.9028,5.5717,62.5092,Indian Subcontinent
68203,Indian Subcontinent,Indian,Asian,3.0631,237.3345,0.4858,26.0016,Indian Subcontinent
68204,Indian Subcontinent,Indian,Asian,1467.4665,7319.5152,533.7871,80.2426,Indian Subcontinent
68205,Indian Subcontinent,Indian,Asian,57.2879,451.4710,10.2253,22.6384,Indian Subcontinent
68206,Indian Subcontinent,Indian,Asian,15.3396,110.2973,2.5532,5.2517,Indian Subcontinent
68207,Indian Subcontinent,Indian,Asian,18.2643,671.5880,3.7962,68.9493,Indian Subcontinent
68208,Indian Subcontinent,Indian,Asian,7.9856,61.4740,2.8365,3.4332,Indian Subcontinent
68209,Indian Subcontinent,Indian,Asian,22.9390,90.2875,1.4692,0.1649,Indian Subcontinent
68210,Indian Subcontinent,Indian,Asian,470.2853,72535.1050,61.6586,7967.7592,Indian Subcontinent
68211,Indian Subcontinent,Indian,Asian,37.5925,2098.8319,76.6556,190.7069,Indian Subcontinent
68212,Indian Subcontinent,Indian,Asian,18.2599,862.0360,10.8028,86.2375,Indian Subcontinent
68213,Indian Subcontinent,Indian,Asian,517.0366,2417.1432,62.5303,21.3100,Indian Subcontinent
68214,Indian Subcontinent,Indian,Asian,109.8418,774.4126,17.7527,32.9066,Indian Subcontinent
68215,Indian Subcontinent,Indian,Asian,95.0800,1365.7093,164.7680,33.1576,Indian Subcontinent
68216,Indian Subcontinent,Indian,Asian,153.8646,646.8628,1.0519,2.8366,Indian Subcontinent
68217,Indian Subcontinent,Indian,Asian,258.9553,1218.4388,16.9262,11.5334,Indian Subcontinent
68218,Indian Subcontinent,Indian,Asian,485.7627,3176.1148,140.1857,87.2333,Indian Subcontinent
68219,Indian Subcontinent,Indian,Asian,18.6092,91.4931,3.7160,1.1180,Indian Subcontinent
